Renneska 1+2,,Renneska,Heršpická
time,cyklisté,chodci
2020-05-29,486,407
2020-05-30,1589,525
2020-05-31,282,363
2020-06-01,1944,1734
2020-06-02,1935,1910
2020-06-03,1680,1830
2020-06-04,1674,1966
2020-06-05,382,868
2020-06-06,2009,638
2020-06-07,746,494
2020-06-08,1052,1908
2020-06-09,1968,2421
2020-06-10,651,1598
2020-06-11,1919,2376
2020-06-12,1927,1840
2020-06-13,1574,491
2020-06-14,647,398
2020-06-15,1796,2295
2020-06-16,2368,2524
2020-06-17,2081,2516
2020-06-18,840,1430
2020-06-19,608,1088
2020-06-20,272,326
2020-06-21,415,371
2020-06-22,1333,1846
2020-06-23,2775,2369
2020-06-24,1637,2146
2020-06-25,2283,2359
2020-06-26,922,1492
2020-06-27,2933,760
2020-06-28,1381,411
2020-06-29,539,924
2020-06-30,1539,1770
2020-07-01,2374,2298
2020-07-02,1552,1892
2020-07-03,1535,1759
2020-07-04,1880,655
2020-07-05,1324,478
2020-07-06,1227,562
2020-07-07,1881,2484
2020-07-08,2235,2673
2020-07-09,1984,2544
2020-07-10,1458,1804
2020-07-11,143,171
2020-07-12,1529,430
2020-07-13,1711,2203
2020-07-14,2250,2279
2020-07-15,2226,2650
2020-07-16,1237,2057
2020-07-17,1654,1608
2020-07-18,358,329
2020-07-19,2189,719
2020-07-20,2253,2200
2020-07-21,2269,2030
2020-07-22,1800,1552
2020-07-23,2215,1717
2020-07-24,1695,1692
2020-07-25,918,480
2020-07-26,1523,590
2020-07-27,2518,2269
2020-07-28,1673,1390
2020-07-29,2364,2109
2020-07-30,1561,1311
2020-07-31,1219,987
2020-08-01,1212,487
2020-08-02,1689,649
2020-08-03,512,621
2020-08-04,629,1152
2020-08-05,2128,2209
2020-08-06,2788,2143
2020-08-07,1215,938
2020-08-08,705,322
2020-08-09,801,315
2020-08-10,1304,1151
2020-08-11,1397,1434
2020-08-12,1898,1830
2020-08-13,1294,1168
2020-08-14,1010,1145
2020-08-15,995,694
2020-08-16,1049,389
2020-08-17,2105,2617
2020-08-18,1161,1540
2020-08-19,2478,2670
2020-08-20,473,312
2020-08-21,1848,1462
2020-08-22,605,323
2020-08-23,1907,678
2020-08-24,2301,2461
2020-08-25,2587,2422
2020-08-26,2194,2593
2020-08-27,2199,2511
2020-08-28,1974,1913
2020-08-29,1229,500
2020-08-30,1264,767
2020-08-31,1689,2642
2020-09-01,514,908
2020-09-02,2076,2395
2020-09-03,2244,2215
2020-09-04,1939,1859
2020-09-05,2225,617
2020-09-06,732,471
2020-09-07,1642,1736
2020-09-08,2280,2153
2020-09-09,2313,2201
2020-09-10,2087,2019
2020-09-11,1879,1596
2020-09-12,1810,675
2020-09-13,1963,687
2020-09-14,2001,1968
2020-09-15,412,418
2020-09-16,0,0
2020-09-17,0,0
2020-09-18,0,0
2020-09-19,1629,540
2020-09-20,1765,659
2020-09-21,1856,1884
2020-09-22,2150,2038
2020-09-23,142,201
2020-09-25,138,200
2020-09-26,0,0
2020-09-27,0,0
2020-09-28,0,0
2020-09-29,433,1143
2020-09-30,1317,2136
2020-10-01,639,992
2020-10-02,1178,1416
2020-10-03,1263,564
2020-10-04,1395,672
2020-10-05,978,1724
2020-10-06,1839,2141
2020-10-07,1356,2027
2020-10-08,1638,1712
2020-10-09,1653,1591
2020-10-10,1372,573
2020-10-11,732,605
2020-10-12,421,1113
2020-10-13,200,596
2020-10-14,171,925
2020-10-15,1021,1212
2020-10-16,397,676
2020-10-17,486,686
2020-10-18,1048,664
2020-10-19,1113,1438
2020-10-20,1103,1511
2020-10-21,1105,1537
2020-10-22,1540,1449
2020-10-23,923,1172
2020-10-24,919,619
2020-10-25,1046,574
2020-10-26,1493,1429
2020-10-27,516,990
2020-10-28,1438,813
2020-10-29,392,684
2020-10-30,210,604
2020-10-31,929,684
2020-11-01,304,473
2020-11-02,582,1170
2020-11-03,1154,1262
2020-11-04,489,1142
2020-11-05,1091,1132
2020-11-06,861,1152
2020-11-07,1292,647
2020-11-08,691,736
2020-11-09,546,1212
2020-11-10,506,1188
2020-11-11,515,1161
2020-11-12,517,1109
2020-11-13,573,1197
2020-11-14,554,677
2020-11-15,327,718
2020-11-16,319,1201
2020-11-17,1226,999
2020-11-18,1020,1530
2020-11-19,471,1242
2020-11-20,619,1129
2020-11-21,583,747
2020-11-22,471,863
2020-11-23,353,1314
2020-11-24,350,1288
2020-11-25,296,1339
2020-11-26,357,1349
2020-11-27,306,1243
2020-11-28,437,605
2020-11-29,486,684
2020-11-30,385,1354
2020-12-01,344,1628
2020-12-02,426,1611
2020-12-03,137,1622
2020-12-04,174,1094
2020-12-05,434,719
2020-12-06,419,803
2020-12-07,310,1551
2020-12-08,355,1699
2020-12-09,503,1747
2020-12-10,287,1540
2020-12-11,243,1190
2020-12-12,151,677
2020-12-13,327,861
2020-12-14,411,1511
2020-12-15,321,1577
2020-12-16,176,1039
2020-12-17,30,133
2020-12-18,634,2152
2020-12-19,139,1136
2020-12-20,160,1896
2020-12-21,294,2718
2020-12-22,162,977
2020-12-23,299,1151
2020-12-24,48,491
2020-12-25,281,643
2020-12-26,259,607
2020-12-27,255,601
2020-12-28,206,764
2020-12-29,543,1102
2020-12-30,344,890
2020-12-31,393,905
